Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.95703125,61,4190.2563476562,4223.9741210938,4225.384765625,4219.615234375,4200.1284179688,4168.205078125,4203.205078125,4184.7436523438,4198.205078125,4199.615234375,4199.3588867188,4185.0,4205.384765625,4219.8715820312,,,
11.78515625,754,4172.9487304688,4121.794921875,4246.6665039062,4146.9228515625,4153.205078125,4159.615234375,4170.5126953125,4160.384765625,4153.9741210938,4166.2822265625,4186.2822265625,4172.5639648438,4154.615234375,4154.1025390625,,,
0.58203125,37,4170.8974609375,4134.1025390625,4229.2309570312,4118.9741210938,4170.0,4155.8974609375,4183.58984375,4183.205078125,4199.7436523438,4202.4360351562,4242.3076171875,4201.9228515625,4198.8461914062,4181.2822265625,,,
14.66796875,938,4179.1025390625,4154.7436523438,4196.1538085938,4168.3334960938,4182.1796875,4161.41015625,4172.5639648438,4185.7690429688,4186.6665039062,4175.2563476562,4171.794921875,4175.384765625,4218.8461914062,4199.2309570312,,,
16.01953125,1025,4147.9487304688,4117.0512695312,4138.8461914062,4108.3334960938,4149.7436523438,4153.4614257812,4141.5385742188,4155.6411132812,4155.8974609375,4162.9487304688,4193.4614257812,4149.3588867188,4116.1538085938,4155.6411132812,,,
15.48046875,990,4158.8461914062,4119.1025390625,4115.2563476562,4089.4870605469,4155.384765625,4167.3076171875,4167.6923828125,4162.3076171875,4166.41015625,4169.615234375,4239.2309570312,4173.205078125,4203.9741210938,4176.794921875,,,
12.25,784,4160.8974609375,4212.8203125,4079.3588867188,4185.8974609375,4166.6665039062,4159.3588867188,4173.58984375,4173.9741210938,4172.9487304688,4172.4360351562,4139.8715820312,4158.9741210938,4095.8974609375,4156.41015625,,,
5.1640625,330,4161.5385742188,4089.1025390625,4184.4873046875,4063.8461914062,4155.8974609375,4154.2309570312,4162.1796875,4163.4614257812,4180.384765625,4213.0771484375,4281.5385742188,4217.8203125,4191.2822265625,4206.794921875,,,
9.52734375,609,4173.4614257812,4153.8461914062,4207.1796875,4209.7436523438,4167.4360351562,4159.615234375,4160.8974609375,4165.1284179688,4155.2563476562,4165.6411132812,4218.9741210938,4219.4873046875,4155.8974609375,4222.4360351562,,,
4.91015625,314,4142.0512695312,4112.0512695312,4100.2563476562,4152.1796875,4151.9228515625,4155.2563476562,4157.9487304688,4155.1284179688,4149.4873046875,4136.2822265625,4136.0258789062,4135.8974609375,4143.0771484375,4136.1538085938,,,
9.28515625,594,4179.615234375,4162.3076171875,4059.4870605469,4170.1284179688,4171.5385742188,4166.0258789062,4184.7436523438,4187.1796875,4190.6411132812,4187.8203125,4186.0258789062,4175.7690429688,4213.4614257812,4183.58984375,,,
2.62890625,168,4131.794921875,4127.5639648438,4107.3076171875,4090.6411132812,4119.2309570312,4154.8715820312,4128.58984375,4134.7436523438,4126.6665039062,4123.0771484375,4148.7177734375,4124.4873046875,4090.7692871094,4125.5126953125,,,
7.08984375,453,4135.6411132812,4154.7436523438,4202.0512695312,4133.4614257812,4136.6665039062,4155.8974609375,4139.2309570312,4134.7436523438,4118.3334960938,4119.8715820312,4111.794921875,4125.8974609375,4091.9230957031,4135.5126953125,,,
17.7890625,1138,4172.3076171875,4200.2563476562,4131.0258789062,4185.8974609375,4181.0258789062,4159.7436523438,4170.5126953125,4154.615234375,4148.205078125,4145.5126953125,4132.4360351562,4157.3076171875,4155.5126953125,4163.58984375,,,
17.49609375,1119,4180.0,4187.0512695312,4144.4873046875,4182.8203125,4169.615234375,4167.6923828125,4166.2822265625,4177.6923828125,4168.9741210938,4166.2822265625,4144.1025390625,4178.7177734375,4169.8715820312,4169.4873046875,,,
10.8359375,693,4162.8203125,4186.0258789062,4153.7177734375,4160.1284179688,4155.384765625,4163.8461914062,4151.0258789062,4136.5385742188,4156.0258789062,4156.5385742188,4144.3588867188,4139.2309570312,4133.58984375,4147.1796875,,,
1.72265625,110,4179.2309570312,4194.615234375,4145.2563476562,4198.3334960938,4179.1025390625,4167.0512695312,4170.0,4178.3334960938,4176.6665039062,4163.3334960938,4121.5385742188,4155.7690429688,4150.1284179688,4212.8203125,,,
10.921875,699,4164.3588867188,4193.205078125,4170.7690429688,4162.1796875,4157.0512695312,4156.6665039062,4144.3588867188,4135.384765625,4156.9228515625,4154.7436523438,4149.3588867188,4136.0258789062,4130.5126953125,4146.6665039062,,,
11.8125,756,4158.3334960938,4117.1796875,4225.8974609375,4131.0258789062,4138.7177734375,4151.6665039062,4154.8715820312,4152.3076171875,4140.6411132812,4152.0512695312,4155.5126953125,4153.205078125,4126.5385742188,4138.0771484375,,,
9.71484375,621,4162.0512695312,4169.1025390625,4140.6411132812,4173.58984375,4153.3334960938,4157.0512695312,4155.7690429688,4152.3076171875,4156.2822265625,4149.3588867188,4124.4873046875,4144.2309570312,4170.2563476562,4158.4614257812,,,
8.4921875,543,4127.6923828125,4104.2309570312,4149.4873046875,4121.9228515625,4122.9487304688,4153.0771484375,4106.794921875,4120.384765625,4123.9741210938,4124.4873046875,4113.4614257812,4124.8715820312,4125.6411132812,4290.8974609375,,,
9.47265625,606,4184.3588867188,4188.8461914062,3769.8718261719,4200.6411132812,4187.4360351562,4156.5385742188,4184.1025390625,4190.8974609375,4194.1025390625,4191.1538085938,4176.9228515625,4174.3588867188,4197.4360351562,4173.9741210938,,,
13.57421875,868,4133.4614257812,4136.5385742188,4190.0,4125.0,4127.9487304688,4154.3588867188,4143.3334960938,4111.2822265625,4117.6923828125,4125.0,4143.0771484375,4128.58984375,4112.6923828125,4141.5385742188,,,
9.890625,633,4162.5639648438,4150.6411132812,4199.7436523438,4207.4360351562,4160.2563476562,4163.7177734375,4160.0,4150.0,4157.9487304688,4156.5385742188,4113.7177734375,4145.7690429688,4171.794921875,4170.384765625,,,
3.421875,219,4168.205078125,4208.4614257812,4222.3076171875,4286.0258789062,4173.0771484375,4161.1538085938,4171.2822265625,4175.0,4160.6411132812,4154.3588867188,4108.3334960938,4164.8715820312,4144.4873046875,4161.2822265625,,,
18.359375,1175,4157.6923828125,4125.5126953125,4123.7177734375,4122.9487304688,4142.0512695312,4152.4360351562,4108.0771484375,4155.8974609375,4135.7690429688,4131.9228515625,4149.2309570312,4141.5385742188,4112.1796875,4175.0,,,
15.671875,1003,4163.3334960938,4107.0512695312,4028.7180175781,4076.1538085938,4152.0512695312,4163.0771484375,4167.8203125,4194.615234375,4199.615234375,4200.8974609375,4248.0771484375,4184.1025390625,4196.1538085938,4178.58984375,,,
5.2890625,338,4171.2822265625,4111.0258789062,4200.5126953125,4107.9487304688,4172.0512695312,4166.41015625,4179.2309570312,4187.0512695312,4195.7690429688,4208.205078125,4253.4614257812,4213.3334960938,4178.0771484375,4203.4614257812,,,
14.234375,911,4162.0512695312,4147.5639648438,4125.2563476562,4159.7436523438,4155.8974609375,4160.1284179688,4150.6411132812,4123.205078125,4151.9228515625,4156.794921875,4158.3334960938,4156.9228515625,4158.9741210938,4113.9741210938,,,
7.50390625,480,4145.1284179688,4166.5385742188,4102.9487304688,4135.384765625,4150.8974609375,4161.1538085938,4157.0512695312,4158.8461914062,4157.6923828125,4155.1284179688,4167.4360351562,4133.0771484375,4162.6923828125,4137.5639648438,,,
2.08203125,133,4172.3076171875,4172.9487304688,4075.6411132812,4181.6665039062,4170.7690429688,4168.4614257812,4168.3334960938,4166.2822265625,4159.1025390625,4155.1284179688,4117.3076171875,4165.8974609375,4217.9487304688,4204.1025390625,,,
13.625,872,4125.7690429688,4135.2563476562,4140.5126953125,4122.0512695312,4128.205078125,4155.2563476562,4137.5639648438,4108.9741210938,4120.2563476562,4133.58984375,4141.5385742188,4125.2563476562,4113.9741210938,4130.2563476562,,,
5.21484375,333,4151.0258789062,4097.4360351562,4164.2309570312,4062.8205566406,4138.205078125,4155.5126953125,4140.1284179688,4160.8974609375,4175.6411132812,4184.1025390625,4242.6923828125,4191.2822265625,4147.8203125,4194.8715820312,,,
6.86328125,439,4082.0512695312,4075.1281738281,4038.8461914062,4048.58984375,4065.8974609375,4150.384765625,4072.1794433594,4060.3845214844,4052.5642089844,4056.5385742188,4032.4357910156,4041.9230957031,4114.3588867188,4068.4614257812,,,
7.03515625,450,4156.794921875,4160.6411132812,4210.384765625,4136.794921875,4138.205078125,4156.9228515625,4150.1284179688,4149.4873046875,4140.8974609375,4137.8203125,4134.2309570312,4152.0512695312,4110.7690429688,4152.1796875,,,
9.83203125,629,4163.4614257812,4190.7690429688,4000.5129394531,4171.1538085938,4168.4614257812,4160.2563476562,4171.9228515625,4175.6411132812,4173.7177734375,4172.6923828125,4185.1284179688,4158.4614257812,4151.5385742188,4168.58984375,,,
9.1953125,588,4155.8974609375,4118.4614257812,4136.0258789062,4138.8461914062,4162.9487304688,4154.8715820312,4168.58984375,4162.3076171875,4153.7177734375,4155.5126953125,4171.794921875,4170.0,4168.7177734375,4228.8461914062,,,
2.703125,173,4177.6923828125,4207.5639648438,4165.2563476562,4188.3334960938,4193.9741210938,4163.8461914062,4201.794921875,4176.5385742188,4204.7436523438,4190.1284179688,4188.0771484375,4178.205078125,4227.5639648438,4171.0258789062,,,
7.43359375,475,4134.3588867188,4154.2309570312,4083.58984375,4111.794921875,4133.3334960938,4154.3588867188,4137.6923828125,4142.5639648438,4143.205078125,4140.1284179688,4145.1284179688,4110.6411132812,4156.41015625,4123.3334960938,,,
7.953125,509,4147.8203125,4146.5385742188,4184.615234375,4150.8974609375,4155.8974609375,4158.205078125,4140.1284179688,4139.3588867188,4138.7177734375,4140.6411132812,4128.58984375,4139.615234375,4171.1538085938,4137.8203125,,,
11.97265625,766,4136.794921875,4095.3845214844,4167.8203125,4117.9487304688,4119.615234375,4155.1284179688,4135.8974609375,4131.41015625,4126.9228515625,4137.0512695312,4134.8715820312,4130.8974609375,4119.8715820312,4122.5639648438,,,
7.4921875,479,4143.0771484375,4152.3076171875,4090.1281738281,4113.9741210938,4138.205078125,4163.58984375,4143.205078125,4143.58984375,4144.3588867188,4136.6665039062,4148.4614257812,4112.0512695312,4147.3076171875,4125.8974609375,,,
9.35546875,598,4147.4360351562,4138.0771484375,4154.7436523438,4137.1796875,4144.615234375,4154.615234375,4153.205078125,4151.5385742188,4151.794921875,4155.8974609375,4168.0771484375,4153.9741210938,4167.9487304688,4196.1538085938,,,
18.5234375,1185,4173.4614257812,4141.1538085938,4177.3076171875,4162.1796875,4163.4614257812,4148.9741210938,4166.0258789062,4159.1025390625,4165.5126953125,4172.1796875,4170.8974609375,4172.1796875,4105.1284179688,4173.3334960938,,,
12.15234375,777,4180.6411132812,4227.4360351562,4144.4873046875,4214.2309570312,4198.3334960938,4159.3588867188,4184.7436523438,4183.8461914062,4176.794921875,4185.384765625,4163.205078125,4177.5639648438,4141.0258789062,4153.7177734375,,,
